"pop1","pop2","pop3","pop4","est","se","z","p","n"
"Iso","Csg","sak","eKor",0.161202354293601,0.0270054073487191,5.96926208932921,2.38329006154113e-09,10287244
"Iso","Mry","sak","eKor",0.212530259211037,0.0271000902832277,7.84241886244094,4.41949292142051e-15,10287244
"Iso","Ich","sak","eKor",-0.0289646522640969,0.0320745431458824,-0.90304177154945,0.366503725806578,10287244
"Iso","Csg","westJ","eKor",-0.110954005690382,0.0171119202497397,-6.48401839601076,8.93113249638857e-11,10287244
"Iso","Mry","westJ","eKor",-0.155553094906028,0.0224068184519449,-6.94222141530881,3.859816073378e-12,10287244
"Iso","Ich","westJ","eKor",-0.0163671860176012,0.0227290111032385,-0.720101105290459,0.471462747042135,10287244
