"pop1","pop2","pop3","pop4","est","se","z","p","n"
"Iso","westJ","sak","eKor",0.417628919436272,0.0154507492776665,27.0296871647474,6.62012758511514e-161,10287244
"Csg","westJ","sak","eKor",0.326808676626373,0.0194414555226895,16.8098873175912,2.06563628294323e-63,10287244
"Mry","westJ","sak","eKor",0.287119122207329,0.0242567884842357,11.8366502801443,2.52331035371722e-32,10287244
"Ich","westJ","sak","eKor",0.392954669200189,0.0215597052210995,18.2263470288834,3.1892520468354e-74,10287244
