"pop1","pop2","pop3","pop4","est","se","z","p","n"
"westJ","wKyu","sak","eKor",0.158997569761088,0.0105096004171579,15.1287930511145,1.04596162323483e-51,10287244
"eastJ","wKyu","sak","eKor",0.448301106590061,0.0134739043625026,33.2718041132655,9.87790212168415e-243,10287244
"eastJ","westJ","sak","eKor",0.355733269818003,0.0152949761442732,23.2581774866774,1.17577530624721e-119,10287244
"eastJ","westJ","wKyu","eKor",-0.00833319724778728,0.00882761515512727,-0.943991905101025,0.345173784894226,10287244
