"pop1","pop2","pop3","pop4","est","se","z","p","n"
"eastJ","westJ","ktg","eKor",0.356952842767874,0.0155655685915002,22.932207112742,2.21794914628368e-116,10287244
"eastJ","westJ","kwb","eKor",0.3592267665533,0.0155823842192019,23.0533891027171,1.36016270993383e-117,10287244
"eastJ","westJ","Nig","eKor",0.359604031361306,0.0153288892765052,23.4592360134322,1.06402040061994e-121,10287244
"eastJ","westJ","Trg","eKor",0.347205002322593,0.0148710042307025,23.3477845165128,1.45146105036668e-120,10287244
