"pop1","pop2","pop3","pop4","est","se","z","p","n"
"Eky","wKyu","sak","eKor",0.358274622201948,0.011458057378165,31.2683564392594,1.25700830444878e-214,10287244
"Ehm","wKyu","sak","eKor",0.273366420760301,0.01209746877638,22.5969932895418,4.63903116516278e-113,10287244
"Tsm","wKyu","sak","eKor",0.129940049294709,0.0117904936446068,11.0207471554125,3.03529101849762e-28,10287244
"Miy","wKyu","sak","eKor",0.0651198185569307,0.0106592395190413,6.10923682131387,1.00108687714688e-09,10287244
"Myk","wKyu","sak","eKor",-0.0300311344770491,0.0163134822448378,-1.84087823962613,0.0656394039145305,10287244
