"pop1","pop2","pop3","est","se","z","p","n"
"eKor","westJ","eastJ",0.342978596850379,0.00174883845915352,196.117940485132,0,9628158
"eKor","wKyu","eastJ",0.340465838909686,0.00174906549252289,194.655855006658,0,9628158
"eKor","wKyu","westJ",0.340504618799489,0.00174904355830411,194.680468180933,0,9628158
"eKor","sak","eastJ",0.340364956830917,0.00170553063687269,199.565431117098,0,9628158
"eKor","sak","westJ",0.339315836765584,0.00172076310295902,197.18916344853,0,9628158
"eKor","sak","wKyu",0.338580691200228,0.00171670417654643,197.227161106676,0,9628158
